Country;World Bank income group;WHO region;Year;Sex;Life expectancy at birth (years);Comments;Under-five mortality rate (deaths per 1000 live births);Healthy life expectancy (HALE) at age 60 (years);Under-five mortality rate (probability of dying by age 5 per 1000 live births);Infant mortality rate (deaths per 1000 live births);Adult mortality rate (probability of dying between 15 and 60 years per 1000 population);
Singapore [Western Pacific];null;null;2000;Male;76.20437;null;4;15.41451;4.167;;100.1214;
New Zealand [Western Pacific];null;null;2000;Male;75.9971;null;8;15.62121;8.1509;;105.1296;
Uruguay [Americas];null;null;2019;Female;80.55956;null;6;18.15688;6.00943;;;
Cambodia [Western Pacific];null;null;2019;Both sexes;70.12289;null;;13.17781;26.62564;;;
Iraq [Eastern Mediterranean];null;null;2015;Female;73.40775;null;27;14.87292;26.77771;;137.5498;
Slovakia [Europe];null;null;2000;Female;77.43365;null;9;15.85318;8.70651;;78.80007;
United States of America [Americas];null;null;2010;Both sexes;78.56299;null;;16.45723;7.33682;;105.2147;
Indonesia [South-East Asia];null;null;2000;Both sexes;67.17435;null;;12.97295;52.21475;;187.335;
Angola [Africa];null;null;2010;Male;55.77834;null;128;10.84583;128.29057;;307.2003;
Timor-Leste [South-East Asia];null;null;2010;Both sexes;68.06429;null;;13.45218;61.47069;;162.717;
Bulgaria [Europe];null;null;2000;Female;74.96658;null;15;14.91094;15.56136;;98.94202;
Zimbabwe [Africa];null;null;2000;Both sexes;46.57054;null;;10.5819;95.50727;;675.3416;
Cabo Verde [Africa];null;null;2000;Both sexes;70.97066;null;;15.3693;38.10009;;166.8153;
Israel [Europe];null;null;2000;Female;80.66427;null;6;17.71288;6.40455;;55.56807;
Norway [Europe];null;null;2010;Male;78.82689;null;4;16.63503;3.61043;;79.13087;
Myanmar [South-East Asia];null;null;2010;Male;61.62328;null;69;11.59485;68.82474;;250.6364;
Yemen [Eastern Mediterranean];null;null;2015;Female;69.57742;null;53;13.888;56.57658;;210.9513;
Spain [Europe];null;null;2015;Female;84.93915;null;3;19.96244;3.01638;;38.54969;
Uruguay [Americas];null;null;2015;Both sexes;77.03117;null;;16.80268;8.86678;;114.1996;
Lao People's Democratic Republic [Western Pacific];null;null;2010;Female;67.38007;null;62;13.53369;62.12001;;196.8032;
Syrian Arab Republic [Eastern Mediterranean];null;null;2000;Male;70.35435;null;25;13.48088;25.23221;;155.0825;
Ecuador [Americas];null;null;2010;Male;72.30629;null;20;15.82621;21.19873;;172.7338;
Mexico [Americas];null;null;2000;Female;77.11522;null;25;16.38348;25.55485;;102.0691;
Tunisia [Eastern Mediterranean];null;null;2010;Female;78.20534;null;17;16.37032;16.76875;;74.49641;
Mali [Africa];null;null;2019;Male;62.19934;null;99;12.87413;99.53384;;;
Malaysia [Western Pacific];null;null;2015;Both sexes;74.95027;null;;14.84607;8.05304;;125.5632;
Gabon [Africa];null;null;2010;Female;64.2548;null;56;13.44325;56.19789;;296.4382;
Nicaragua [Americas];null;null;2015;Male;71.83131;null;22;13.87072;21.62581;;193.1545;
Cuba [Americas];null;null;2000;Both sexes;76.76054;null;;16.49309;8.82518;;121.139;
Malta [Europe];null;null;2000;Both sexes;77.8685;null;;16.20743;7.78817;;69.51064;
C\u00f4te d'Ivoire [Africa];null;null;2000;Both sexes;50.33079;null;;10.71678;143.32456;;460.7195;
Solomon Islands [Western Pacific];null;null;2010;Female;66.40263;null;23;11.86418;23.93808;;150.8739;
Mauritius [Africa];null;null;2010;Male;69.83536;null;16;12.6124;15.90073;;214.2822;
null;Upper-middle-income;null;2015;Female;78.66937;null;;16.73927;;;;
Uzbekistan [Europe];null;null;2010;Male;67.51205;null;38;12.44903;32.55686;;181.956;
Saint Vincent and the Grenadines [Americas];null;null;2000;Female;72.80991;null;20;14.99594;20.30942;;163.2999;
Bahrain [Eastern Mediterranean];null;null;2010;Male;73.8488;null;9;12.92366;8.80844;;66.60384;
Kenya [Africa];null;null;2015;Female;66.61713;null;45;13.83399;44.67211;;192.1688;
Lao People's Democratic Republic [Western Pacific];null;null;2015;Both sexes;67.07706;null;;13.21179;53.80664;;196.6613;
Cuba [Americas];null;null;2019;Both sexes;77.76285;null;;16.306;5.21618;;;
null;null;Global;2010;Female;73.20403;null;;16.05091;49.13806;;124.8058;
Sierra Leone [Africa];null;null;2019;Both sexes;60.7705;null;;12.60846;111.89061;;;
Argentina [Americas];null;null;2010;Male;72.14228;null;16;14.4191;15.88522;;153.024;
Mozambique [Africa];null;null;2000;Both sexes;50.68681;null;;11.02142;170.41818;;428.2872;
Georgia [Europe];null;null;2000;Both sexes;69.40902;null;;13.36786;36.56134;;128.5191;
Burundi [Africa];null;null;2010;Female;60.31611;null;118;12.83018;84.61121;71.78221;297.9974;
United Republic of Tanzania [Africa];null;null;2010;Female;62.6319;null;88;13.37641;67.71396;58.22275;319.5175;
Denmark [Europe];null;null;2015;Both sexes;80.59389;null;;17.92204;4.10916;;66.27364;
United Arab Emirates [Eastern Mediterranean];null;null;2010;Both sexes;74.86285;null;;14.12035;8.65764;;81.48761;
Mongolia [Western Pacific];null;null;2000;Female;64.11119;null;57;11.41316;55.41721;;215.7578;
Cambodia [Western Pacific];null;null;2015;Both sexes;69.17362;null;;13.09945;31.75986;;174.2963;
Lao People's Democratic Republic [Western Pacific];null;null;2019;Male;66.19006;null;50;12.51857;50.26674;;;
null;null;Western Pacific;2019;Female;80.83228;null;;17.69337;10.25718;;;
Czechia [Europe];null;null;2000;Male;71.5343;null;6;12.91421;6.07344;;171.7552;
Belarus [Europe];null;null;2010;Female;76.40522;null;5;15.71103;4.85389;;112.7139;
Gabon [Africa];null;null;2000;Male;56.14642;null;103;10.06282;89.18037;73.62079;326.7604;
Malaysia [Western Pacific];null;null;2019;Male;72.60717;null;9;14.01627;9.22675;;;
Eswatini [Africa];null;null;2015;Female;58.70752;null;54;12.40979;51.93628;;343.9754;
Trinidad and Tobago [Americas];null;null;2000;Both sexes;69.70364;null;;14.01086;27.86942;;201.9602;
Bosnia and Herzegovina [Europe];null;null;2010;Male;73.84852;null;8;13.9181;7.93795;;133.5322;
Burkina Faso [Africa];null;null;2000;Both sexes;51.64145;null;;11.49203;178.92194;;341.7645;
Tajikistan [Europe];null;null;2000;Both sexes;65.57712;null;;13.56979;83.56955;;170.1127;
Bahamas [Americas];null;null;2000;Both sexes;70.93668;null;;15.5951;16.2544;;202.3848;
El Salvador [Americas];null;null;2015;Male;68.12299;null;17;15.18815;16.99585;;265.2641;
Mongolia [Western Pacific];null;null;2010;Female;69.46863;null;26;12.92015;22.93757;;147.2361;
Haiti [Americas];null;null;2019;Male;63.33846;null;68;12.7286;67.65638;;;
Zimbabwe [Africa];null;null;2000;Female;48.11914;null;86;12.4415;88.86164;;639.5297;
Morocco [Eastern Mediterranean];null;null;2019;Both sexes;72.98804;null;;14.11885;19.47197;;;
Guinea-Bissau [Africa];null;null;2010;Both sexes;55.43303;null;;10.69615;114.49665;;297.8999;
Netherlands [Europe];null;null;2015;Female;82.81586;null;4;18.78275;3.64728;;49.9241;
Fiji [Western Pacific];null;null;2015;Male;65.77479;null;26;11.02035;26.23525;;234.3932;
Liberia [Africa];null;null;2010;Both sexes;60.70386;null;;12.14345;99.81708;;257.96;
Saudi Arabia [Eastern Mediterranean];null;null;2010;Both sexes;71.75653;null;;12.97838;12.2513;;97.11656;
Democratic Republic of the Congo [Africa];null;null;2019;Both sexes;62.35105;null;;12.52959;83.84006;;;
Sweden [Europe];null;null;2000;Both sexes;79.57394;null;;17.39563;4.0984;;71.99351;
France [Europe];null;null;2010;Both sexes;81.21869;null;;19.31602;4.21118;;85.27911;
Thailand [South-East Asia];null;null;2010;Male;73.23504;null;15;16.66901;15.0315;;215.8641;
Belgium [Europe];null;null;2015;Both sexes;80.71184;null;;17.86398;4.06843;;71.87219;
Syrian Arab Republic [Eastern Mediterranean];null;null;2010;Female;75.62546;null;17;14.64546;16.95862;;99.03404;
Indonesia [South-East Asia];null;null;2019;Female;73.29897;null;21;14.04284;21.16232;;;
Kazakhstan [Europe];null;null;2000;Male;57.58092;null;47;9.69788;48.05987;;405.7729;
Jordan [Eastern Mediterranean];null;null;2000;Female;72.48032;null;25;13.1432;24.47661;;115.1801;
Equatorial Guinea [Africa];null;null;2019;Male;60.86714;null;88;12.2792;86.94994;;;
null;High-income;null;2015;Both sexes;80.32959;null;;17.96684;;;;
Angola [Africa];null;null;2000;Female;52.12018;null;192;11.80188;192.63553;;344.6869;
Denmark [Europe];null;null;2010;Male;77.19883;null;5;16.43535;4.47191;;101.9284;
null;null;Europe;2019;Male;75.09387;null;;15.78747;8.64234;;;
Sao Tome and Principe [Africa];null;null;2000;Female;64.30998;null;79;12.76249;76.8085;;201.7564;
Seychelles [Africa];null;null;2000;Female;76.28439;null;13;15.29459;12.95646;;106.1074;
North Macedonia [Europe];null;null;2019;Female;76.86526;null;6;14.9211;6.32505;;;
Oman [Eastern Mediterranean];null;null;2019;Both sexes;73.89786;null;;13.18281;11.09122;;;
Chile [Americas];null;null;2010;Both sexes;78.46236;null;;17.18225;8.69786;;93.62885;
Equatorial Guinea [Africa];null;null;2000;Male;52.37481;null;165;10.22411;163.9691;;394.4147;
Panama [Americas];null;null;2000;Female;80.075;null;23;18.54258;23.14341;;85.74474;
Republic of Korea [Western Pacific];null;null;2019;Male;80.32455;null;3;18.20707;3.41529;;;
Ghana [Africa];null;null;2015;Male;61.96555;null;60;11.51724;59.67454;;264.7309;
Belarus [Europe];null;null;2019;Both sexes;74.80977;null;;15.10771;3.12995;;;
Seychelles [Africa];null;null;2015;Female;76.83038;null;13;15.40905;13.61563;;90.80971;
Ethiopia [Africa];null;null;2000;Both sexes;50.57764;null;;10.61165;140.6849;;406.3498;
Colombia [Americas];null;null;2015;Both sexes;78.35336;null;;17.68365;15.52337;;138.1038;
Angola [Africa];null;null;2019;Female;65.51968;null;69;13.69968;68.12578;;;
Turkey [Europe];null;null;2010;Female;79.08215;null;17;16.74996;17.16041;;78.91988;
Indonesia [South-East Asia];null;null;2019;Male;69.40128;null;26;12.65517;26.31179;;;
null;null;Western Pacific;2015;Female;80.32286;null;;17.56313;12.44272;;69.51099;
Bosnia and Herzegovina [Europe];null;null;2010;Both sexes;76.18808;null;;15.06787;7.20398;;100.7305;
Haiti [Americas];null;null;2000;Female;57.17622;null;132;12.18987;96.38403;82.55547;274.8137;
null;Upper-middle-income;null;2015;Male;72.40026;null;;14.53937;;;;
Afghanistan [Eastern Mediterranean];null;null;2000;Male;54.57449;null;133;10.22541;133.52707;;340.3936;
Japan [Western Pacific];null;null;2010;Both sexes;82.68162;null;;19.68588;3.20576;;61.35915;
El Salvador [Americas];null;null;2019;Both sexes;75.033;null;;16.38455;13.33008;;;
null;High-income;null;2015;Female;82.83353;null;;19.00553;;;;
Oman [Eastern Mediterranean];null;null;2015;Female;74.08579;null;10;12.91834;10.0862;;69.50409;
Jordan [Eastern Mediterranean];null;null;2010;Male;75.5889;null;22;15.69152;21.94145;;133.2778;
Tunisia [Eastern Mediterranean];null;null;2019;Both sexes;77.03745;null;;15.99281;16.86959;;;
Estonia [Europe];null;null;2010;Female;80.44887;null;4;17.86848;4.09634;;67.82484;
Tonga [Western Pacific];null;null;2015;Male;69.44721;null;15;13.14812;13.84304;;168.59;
Venezuela (Bolivarian Republic of) [Americas];null;null;2019;Female;78.16525;null;22;17.50199;22.15554;;;
Syrian Arab Republic [Eastern Mediterranean];null;null;2015;Female;68.36895;null;21;12.59987;39.543;;210.9448;
null;null;Western Pacific;2010;Female;78.74726;null;;16.91302;16.33852;;74.65553;
Viet Nam [Western Pacific];null;null;2000;Both sexes;71.44998;null;;14.26415;29.7996;;138.5838;
Qatar [Eastern Mediterranean];null;null;2000;Male;71.11273;null;13;12.11096;13.45861;;77.92022;
Antigua and Barbuda [Americas];null;null;2010;Male;73.56496;null;11;14.84238;10.88467;;165.3357;
Honduras [Americas];null;null;2019;Both sexes;71.93507;null;;13.8306;16.7724;;;
Senegal [Africa];null;null;2019;Female;70.14394;null;41;13.54211;35.75032;;;
Uganda [Africa];null;null;2019;Both sexes;66.69038;null;;13.39797;45.32292;;;
Egypt [Eastern Mediterranean];null;null;2015;Male;68.21907;null;25;12.24621;24.68311;;205.1257;
Czechia [Europe];null;null;2015;Female;81.29614;null;3;17.37338;2.77956;;52.749;
null;null;Global;2000;Female;69.27016;null;;15.10483;73.66755;;146.828;
Luxembourg [Europe];null;null;2015;Both sexes;82.30824;null;;18.58997;2.7702;;51.88897;
Slovakia [Europe];null;null;2019;Female;81.4355;null;5;18.20654;5.26714;;;
Saudi Arabia [Eastern Mediterranean];null;null;2019;Both sexes;74.31111;null;;14.0397;7.31081;;;
Libya [Eastern Mediterranean];null;null;2019;Male;74.20638;null;13;15.27209;12.67165;;;
Cuba [Americas];null;null;2015;Male;75.70345;null;6;15.53162;6.23688;;118.1007;
Ukraine [Europe];null;null;2000;Female;73.24368;null;16;14.39157;16.22817;;136.8385;
Eswatini [Africa];null;null;2000;Female;49.44042;null;103;11.59524;105.32836;;494.481;
Somalia [Eastern Mediterranean];null;null;2010;Both sexes;51.97965;null;;10.56974;157.39255;;335.447;
Poland [Europe];null;null;2000;Male;69.5091;null;10;12.6621;10.16142;;216.8464;
Bahamas [Americas];null;null;2000;Female;74.19233;null;15;16.62945;15.05527;;149.917;
Colombia [Americas];null;null;2019;Both sexes;79.31356;null;;18.06119;13.61913;;;
Greece [Europe];null;null;2000;Male;75.51034;null;7;15.74576;6.90664;;115.3072;
Dominican Republic [Americas];null;null;2019;Both sexes;72.84367;null;;15.98932;34.35184;;;
Antigua and Barbuda [Americas];null;null;2010;Female;78.24885;null;9;16.79073;9.11234;;104.8856;
Bolivia (Plurinational State of) [Americas];null;null;2010;Both sexes;70.34061;null;;14.15966;41.59196;;202.1739;
Romania [Europe];null;null;2000;Female;74.92255;null;19;15.35017;19.20517;;108.1022;
Malta [Europe];null;null;2019;Both sexes;81.89443;null;;18.86299;6.51396;;;
Armenia [Europe];null;null;2019;Female;79.16326;null;11;16.91868;10.26444;;;
Belize [Americas];null;null;2019;Male;71.36353;null;13;15.8954;13.39244;;;
Timor-Leste [South-East Asia];null;null;2015;Both sexes;68.86667;null;;13.3318;50.22595;;152.6297;
Gambia [Africa];null;null;2000;Female;61.62589;null;105;12.96782;106.06298;;275.929;
Bulgaria [Europe];null;null;2000;Male;68.40388;null;19;12.30488;19.3869;;225.2056;
Liberia [Africa];null;null;2019;Both sexes;64.07872;null;;12.85154;80.36587;;;
Sri Lanka [South-East Asia];null;null;2010;Both sexes;73.30135;null;;14.88095;11.37649;;131.2486;
Malawi [Africa];null;null;2000;Female;45.58632;null;199;11.47947;164.67443;107.82085;506.7365;
Chile [Americas];null;null;2015;Female;82.50868;null;7;18.97903;7.18802;;60.41564;
Namibia [Africa];null;null;2010;Male;57.25439;null;54;10.2658;53.36202;;372.3896;
Turkmenistan [Europe];null;null;2000;Male;59.33689;null;78;11.57314;78.17791;;281.4802;
Central African Republic [Africa];null;null;2010;Female;50.43916;null;141;10.6381;137.90985;;449.1059;
Botswana [Africa];null;null;2000;Both sexes;45.58516;null;;9.44742;80.45435;;601.4875;
Namibia [Africa];null;null;2019;Both sexes;64.57598;null;;12.71578;41.85182;;;
United Republic of Tanzania [Africa];null;null;2000;Male;51.28127;null;134;10.66519;134.95399;;496.0099;
Sudan [Eastern Mediterranean];null;null;2000;Both sexes;62.46532;null;;12.61981;104.28192;;283.91;
Italy [Europe];null;null;2019;Both sexes;82.97414;null;;18.90922;3.03801;;;
Dominican Republic [Americas];null;null;2015;Both sexes;71.75336;null;;15.74427;34.99755;;163.1362;
Tunisia [Eastern Mediterranean];null;null;2019;Male;74.87583;null;18;15.14713;18.28234;;;
Papua New Guinea [Western Pacific];null;null;2010;Both sexes;63.42075;null;;11.96084;57.93442;;234.7109;
Poland [Europe];null;null;2015;Both sexes;77.2867;null;;16.43556;4.85432;;114.7604;
Egypt [Eastern Mediterranean];null;null;2015;Female;72.8947;null;22;13.40919;21.88059;;123.6509;
Brazil [Americas];null;null;2015;Male;71.66687;null;18;14.83293;17.75347;;195.6833;
Pakistan [Eastern Mediterranean];null;null;2000;Both sexes;60.0836;null;;11.54389;107.80149;;189.7768;
null;null;Americas;2000;Male;71.13172;null;;14.67271;29.00738;;184.7016;
Argentina [Americas];null;null;2015;Female;79.29972;null;10;17.63098;10.31363;;80.49507;
Sweden [Europe];null;null;2019;Male;80.82676;null;3;18.33096;2.90612;;;
Estonia [Europe];null;null;2019;Both sexes;78.87813;null;;17.29487;2.26626;;;
Czechia [Europe];null;null;2015;Both sexes;78.45764;null;;15.94686;3.16532;;82.94957;
Finland [Europe];null;null;2010;Both sexes;79.87524;null;;17.78638;3.01611;;87.85948;
Namibia [Africa];null;null;2015;Male;59.36171;null;52;10.67892;51.83485;;341.3196;
Zambia [Africa];null;null;2000;Male;43.69116;null;160;8.86125;164.62435;;625.4789;
Zambia [Africa];null;null;2015;Male;57.92546;null;74;10.96422;72.88532;;330.0279;
Maldives [South-East Asia];null;null;2010;Female;78.17097;null;12;15.81601;12.37258;;56.43643;
Bangladesh [South-East Asia];null;null;2000;Male;64.0705;null;90;13.02715;89.56296;;176.6269;
Somalia [Eastern Mediterranean];null;null;2000;Both sexes;49.87339;null;;10.11401;172.70904;;357.7012;
Norway [Europe];null;null;2000;Both sexes;78.53192;null;;16.67558;4.85663;;84.35368;
Jamaica [Americas];null;null;2015;Male;74.10396;null;17;15.4504;17.3485;;167.4492;
Malawi [Africa];null;null;2000;Both sexes;44.72838;null;;10.25855;174.58688;;535.1812;
Serbia [Europe];null;null;2015;Both sexes;75.20887;null;;14.68331;6.28974;;106.1391;
Lesotho [Africa];null;null;2015;Both sexes;47.66742;null;;9.26854;94.61162;;498.3486;
Qatar [Eastern Mediterranean];null;null;2019;Both sexes;77.17221;null;;14.18688;6.14555;;;
Mozambique [Africa];null;null;2000;Male;48.37201;null;176;9.59921;176.40537;;459.697;
France [Europe];null;null;2010;Male;77.96297;null;5;17.85571;4.62112;;115.5141;
Guinea-Bissau [Africa];null;null;2000;Both sexes;50.28384;null;;10.13119;173.78428;;291.1618;
Philippines [Western Pacific];null;null;2000;Male;65.4696;null;41;11.83663;41.4345;;266.0404;
Mongolia [Western Pacific];null;null;2015;Male;63.44672;null;23;11.16166;21.68849;;295.89;
Maldives [South-East Asia];null;null;2019;Both sexes;79.59427;null;;16.78757;7.0082;;;
Benin [Africa];null;null;2019;Both sexes;63.42606;null;;13.00527;88.4173;;;
Paraguay [Americas];null;null;2015;Both sexes;75.56395;null;;16.53726;22.31848;;145.8229;
Australia [Western Pacific];null;null;2000;Female;82.24073;null;6;18.44876;5.50364;;55.98112;
Libya [Eastern Mediterranean];null;null;2010;Male;74.79205;null;18;15.676;18.27021;;158.6425;
Estonia [Europe];null;null;2019;Male;74.69601;null;3;14.8376;2.493;;;
Botswana [Africa];null;null;2010;Both sexes;58.1373;null;;11.17522;51.35918;;331.2066;
Kenya [Africa];null;null;2010;Female;63.07304;null;53;13.50576;52.95277;;272.0232;
Bosnia and Herzegovina [Europe];null;null;2019;Male;74.37591;null;6;14.05624;6.42885;;;
Morocco [Eastern Mediterranean];null;null;2015;Male;71.37453;null;28;13.80502;25.81121;;74.48296;
Central African Republic [Africa];null;null;2019;Both sexes;53.09729;null;;9.95086;106.62235;;;
null;null;Americas;2010;Male;72.5291;null;;15.37015;21.27518;;174.6329;
Myanmar [South-East Asia];null;null;2019;Male;65.90776;null;49;12.37763;49.49248;;;
Lithuania [Europe];null;null;2019;Female;80.43407;null;3;17.81899;3.28241;;;
Latvia [Europe];null;null;2015;Male;69.92623;null;5;13.05248;5.42337;;227.3282;
United Arab Emirates [Eastern Mediterranean];null;null;2019;Female;78.42261;null;7;15.27073;6.06496;;;
Peru [Americas];null;null;2015;Both sexes;79.07546;null;;18.23588;15.68022;;125.46;
Algeria [Africa];null;null;2019;Both sexes;77.13415;null;;16.016;23.25806;;;
Brazil [Americas];null;null;2000;Both sexes;71.46612;null;;14.76356;34.71854;;183.8354;
Romania [Europe];null;null;2019;Both sexes;75.5658;null;;15.65958;7.08848;;;
Sierra Leone [Africa];null;null;2000;Both sexes;48.72966;null;;11.3467;224.85424;;533.4928;
null;null;Eastern Mediterranean;2015;Both sexes;68.38928;null;;13.33289;51.63115;;153.199;
Gambia [Africa];null;null;2010;Female;64.46643;null;67;12.92587;67.74784;;257.5492;
