Country;Year;Sex;Data Source;Age-standardized death rates violence per 100000;Comments;Estimated road traffic death rate (per 100 000 population);Age-standardized death rates prematurity and low birth rate per 100000;Mortality rate attributed to unintentional poisoning (per 100 000 population);Age-standardized NCD mortality rate  (per 100 000 population);Mortality rate among children ages 10 to 14 years (per 1000 children aged 10);
Bulgaria [Europe];2004;Female;null;0.1;null;5.77858;0.1;0.46125;586.0806;;
Namibia [Africa];2004;Male;null;26.6;null;35.81493;15.9;2.81055;993.1878;;
Paraguay [Americas];2004;Both sexes;null;19.1;null;12.07562;8.8;0.27681;440.9236;2.70615;
Liberia [Africa];2004;Both sexes;null;21.5;null;37.3377;44.3;2.599;563.2081;10.19193;
Myanmar [South-East Asia];2004;Both sexes;null;16.3;null;19.71811;27.8;3.02241;823.9167;5.4025;
Kenya [Africa];2004;Female;null;1.4;null;12.58564;5.3;1.61294;514.6902;;
Switzerland [Europe];2002;null;Not applicable;0.91;null;;;;;;
Lao People's Democratic Republic [Western Pacific];2002;null;Not applicable;7.69;null;;;;;;
Luxembourg [Europe];2002;null;Not applicable;1.84;null;;;;;;
Tajikistan [Europe];2004;Both sexes;null;3.3;null;19.07723;26.4;1.348;834.1482;1.57558;
Comoros [Africa];2004;Both sexes;null;11.3;null;26.95779;19.8;2.8521;631.1379;3.59916;
Democratic People's Republic of Korea [South-East Asia];2002;null;Not applicable;19.38;null;;;;;;
Lesotho [Africa];2002;null;Not applicable;8.59;null;;;;;;
Japan [Western Pacific];2002;null;Not applicable;0.58;null;;;;;;
Slovakia [Europe];2004;Female;null;0.0;null;6.02914;0.1;0.39558;493.1175;;
Philippines [Western Pacific];2004;Female;null;1.5;null;5.00834;5.4;0.16672;548.105;;
Palau [Western Pacific];2004;Both sexes;null;0.8;null;;2.8;;;2.50026;
Brunei Darussalam [Western Pacific];2004;Male;null;1.2;null;18.29818;5.3;0.40005;730.4418;;
Viet Nam [Western Pacific];2002;null;Not applicable;4.88;null;;;;;;
Algeria [Africa];2004;Male;null;13.8;null;30.74035;17.5;1.29219;584.7707;;
Dominica [Americas];2004;Both sexes;null;9.8;null;;11.4;;;1.80622;
Tunisia [Eastern Mediterranean];2004;Both sexes;null;1.7;null;23.42781;8.5;0.86229;524.6876;1.91343;
Canada [Americas];2004;Female;null;0.1;null;5.36057;0.2;0.22385;311.1098;;
Solomon Islands [Western Pacific];2004;Male;null;1.7;null;27.39856;18.6;3.65262;963.5613;;
Cyprus [Europe];2002;null;Not applicable;0.22;null;;;;;;
Niger [Africa];2004;Female;null;0.4;null;20.10356;2.4;3.06691;601.6859;;
Bhutan [South-East Asia];2002;null;Not applicable;6.31;null;;;;;;
North Macedonia [Europe];2004;Male;null;8.5;null;12.37874;12.8;0.96296;1010.935;;
Guinea-Bissau [Africa];2004;Male;null;35.7;null;41.52961;28.8;3.78743;975.3253;;
Singapore [Western Pacific];2004;Female;null;0.0;null;2.61496;0.0;0.01887;268.438;;
Brunei Darussalam [Western Pacific];2004;Female;null;0.0;null;6.52581;0.0;0.1384;658.1461;;
Antigua and Barbuda [Americas];2002;null;Not applicable;10.83;null;;;;;;
New Zealand [Western Pacific];2004;Both sexes;null;1.4;null;11.19982;2.5;0.28569;412.0285;0.89136;
Liberia [Africa];2004;Male;null;37.2;null;48.82778;49.3;3.1083;541.8759;;
Panama [Americas];2004;Female;null;0.0;null;4.46834;0.2;0.31247;332.1961;;
C\u00f4te d'Ivoire [Africa];2002;null;Not applicable;33.18;null;;;;;;
Libya [Eastern Mediterranean];2004;Both sexes;null;3.2;null;21.22531;7.5;0.95687;465.0095;1.47719;
Armenia [Europe];2002;null;Not applicable;3.56;null;;;;;;
Germany [Europe];2004;Male;null;0.7;null;11.12507;2.7;0.15746;537.2261;;
Tuvalu [Western Pacific];2002;null;Not applicable;2.15;null;;;;;;
United States of America [Americas];2004;Female;null;3.9;null;9.92901;3.1;0.26885;379.3303;;
Colombia [Americas];2004;Male;null;155.7;null;28.01129;11.1;0.23991;443.2568;;
Costa Rica [Americas];2004;Female;null;0.0;null;5.25127;0.1;0.10524;329.2807;;
Iraq [Eastern Mediterranean];2002;null;Not applicable;4.06;null;;;;;;
Liberia [Africa];2002;null;Not applicable;41.55;null;;;;;;
Mozambique [Africa];2004;Male;null;43.8;null;49.5206;20.4;5.48088;972.416;;
Palau [Western Pacific];2002;null;Not applicable;0.96;null;;;;;;
Spain [Europe];2002;null;Not applicable;0.91;null;;;;;;
